send_dt,send_time,send_number,campaign,email_name,category,text,emails_sent,emails_delivered,undeliverable,total_clicks,unique_clicks,unique_opens,unsubscribes,unique_complaints,total_complaints,gifts,revenue,Audience,send_group,Open_Rate_nw,Click_Rate_nw,Donation_Rate_nw,revenue_1k_new,month,polarity_score,subjectivity_score,processed_text,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
2022-04-07,6:00:56 PM,2.0,COVID Match,2022-04-07-COVID-Match-E2-13-37-Month-Donors,fundraising,: Don?t miss this special MATCH,121413,121221,192.0,396.0,167,46269,69,20.0,23.0,33.0,3985.0,Lapsed Donors,2022-04-07-COVID,0.381087692421734,0.0013754705015113,0.0002717995601788,32.82185597917851,4,0.3571428571428571,0.5714285714285714,don?t miss special match,0.00041166774462908506,0.0006300598615780473,0.001174172735773027,0.000384156679501757,0.003183296648785472,0.07882972061634064,0.0016299097333103418,0.016950588673353195,0.006202565971761942,0.015346423722803593,0.0008877149666659534,0.00033919623820111156,0.0006051089731045067,0.16628038883209229,0.2741301357746124,0.0003613851440604776,0.029014915227890015,0.01151500828564167,0.10889729857444763,0.05466626212000847,0.0019386433996260166,0.00022743789304513484,0.015609268099069595,0.0008029896416701376,0.004595894832164049,0.0539238415658474,0.10871420800685883,0.04274771735072136
2022-04-13,3:00:41 PM,1.0,COVID Match,2022-04-13-Midlevel-COVID-Match-E1-Partner,fundraising,Exclusive match opportunity for ,15791,15764,27.0,93.0,71,6015,5,2.0,2.0,38.0,22800.0,Partners,2022-04-13-Midle,0.3809131783927553,0.0044962320309036,0.002406434044709,1443.8604268254069,4,0.0,0.0,exclusive match opportunity,0.004440237767994404,0.00010359238513046876,1.962983878911473e-05,3.620710413088091e-05,0.021991118788719177,7.948440907057375e-05,0.000313051714329049,0.002376364078372717,0.00019360730948392302,0.00022940055350773036,0.0002264012728119269,2.6680363589548506e-05,5.623307970381575e-06,0.0032496368512511253,3.105102223344147e-05,0.0007282380829565227,1.5990588508429937e-05,0.0005291698034852743,0.000140028350870125,1.9331091607455164e-05,0.0003242111415602267,1.2411061106831767e-05,0.00016603883705101907,3.2064624974736944e-05,6.859620043542236e-05,6.494192348327488e-05,0.00013624041457660496,0.9644405841827393
2022-04-13,3:00:45 PM,1.0,COVID Match,2022-04-13-Midlevel-COVID-Match-E1-PNB,fundraising,Exclusive match opportunity for ,340,338,2.0,4.0,4,118,0,0.0,0.0,2.0,3500.0,PNB,2022-04-13-Midle,0.3470588235294117,0.0117647058823529,0.0058823529411764,10294.117647058823,4,0.0,0.0,exclusive match opportunity,0.004440237767994404,0.00010359238513046876,1.962983878911473e-05,3.620710413088091e-05,0.021991118788719177,7.948440907057375e-05,0.000313051714329049,0.002376364078372717,0.00019360730948392302,0.00022940055350773036,0.0002264012728119269,2.6680363589548506e-05,5.623307970381575e-06,0.0032496368512511253,3.105102223344147e-05,0.0007282380829565227,1.5990588508429937e-05,0.0005291698034852743,0.000140028350870125,1.9331091607455164e-05,0.0003242111415602267,1.2411061106831767e-05,0.00016603883705101907,3.2064624974736944e-05,6.859620043542236e-05,6.494192348327488e-05,0.00013624041457660496,0.9644405841827393
2022-04-13,3:00:44 PM,1.0,COVID Match,2022-04-13-Midlevel-COVID-Match-E1-Moved-Majors,fundraising,Exclusive match opportunity for ,2092,2088,4.0,12.0,9,812,0,0.0,0.0,3.0,5500.0,Other,2022-04-13-Midle,0.3881453154875717,0.004302103250478,0.001434034416826,2629.0630975143404,4,0.0,0.0,exclusive match opportunity,0.004440237767994404,0.00010359238513046876,1.962983878911473e-05,3.620710413088091e-05,0.021991118788719177,7.948440907057375e-05,0.000313051714329049,0.002376364078372717,0.00019360730948392302,0.00022940055350773036,0.0002264012728119269,2.6680363589548506e-05,5.623307970381575e-06,0.0032496368512511253,3.105102223344147e-05,0.0007282380829565227,1.5990588508429937e-05,0.0005291698034852743,0.000140028350870125,1.9331091607455164e-05,0.0003242111415602267,1.2411061106831767e-05,0.00016603883705101907,3.2064624974736944e-05,6.859620043542236e-05,6.494192348327488e-05,0.00013624041457660496,0.9644405841827393
2022-04-05,3:00:57 PM,1.0,COVID Match,2022-04-05-COVID-Match-E1-13-37-Month-Donors,fundraising,"MATCH: , we need pandemic protection for all",114004,113857,147.0,116.0,106,43038,58,19.0,23.0,17.0,1860.0,Lapsed Donors,2022-04-05-COVID,0.377513069716852,0.000929791937125,0.0001491175748219,16.315217009929476,4,0.0,0.0,match need pandemic protection,0.000379611476091668,0.00501663563773036,0.00019806242198683321,0.0012447282206267118,0.026035435497760773,9.976980072678998e-05,0.0005731328274123371,0.0023200877476483583,0.1183258444070816,0.00022861023899167776,0.0006833784864284098,0.0005479805986396968,3.865918915835209e-05,0.00037743186112493277,0.00010259832197334617,7.079084753058851e-05,3.473222386674024e-05,0.00034384444006718695,0.0003688327851705253,0.00019563060777727515,0.0017299909377470613,6.825720629421994e-05,0.00034215356572531164,1.3424193639366422e-05,0.0001316491689067334,0.0010130011942237616,8.963346772361547e-05,0.8394260406494141
2022-04-05,3:00:49 PM,1.0,COVID Match,2022-04-05-COVID-Match-E1-Field-Partner,fundraising,"MATCH: , we need pandemic protection for all",62669,62580,89.0,356.0,278,25428,45,17.0,17.0,122.0,10926.0,Field Partners,2022-04-05-COVID,0.4057508497024047,0.0044360050423654,0.0019467360257862,174.34457227656418,4,0.0,0.0,match need pandemic protection,0.000379611476091668,0.00501663563773036,0.00019806242198683321,0.0012447282206267118,0.026035435497760773,9.976980072678998e-05,0.0005731328274123371,0.0023200877476483583,0.1183258444070816,0.00022861023899167776,0.0006833784864284098,0.0005479805986396968,3.865918915835209e-05,0.00037743186112493277,0.00010259832197334617,7.079084753058851e-05,3.473222386674024e-05,0.00034384444006718695,0.0003688327851705253,0.00019563060777727515,0.0017299909377470613,6.825720629421994e-05,0.00034215356572531164,1.3424193639366422e-05,0.0001316491689067334,0.0010130011942237616,8.963346772361547e-05,0.8394260406494141
2022-04-05,3:00:57 PM,1.0,COVID Match,2022-04-05-COVID-Match-E1-0-12-Month-Donors,fundraising,"MATCH: , we need pandemic protection for all",92264,91914,350.0,312.0,274,32079,92,25.0,25.0,102.0,13140.0,First Levels,2022-04-05-COVID,0.3476870718806902,0.0029697390097979,0.0011055232810196,142.41741090782972,4,0.0,0.0,match need pandemic protection,0.000379611476091668,0.00501663563773036,0.00019806242198683321,0.0012447282206267118,0.026035435497760773,9.976980072678998e-05,0.0005731328274123371,0.0023200877476483583,0.1183258444070816,0.00022861023899167776,0.0006833784864284098,0.0005479805986396968,3.865918915835209e-05,0.00037743186112493277,0.00010259832197334617,7.079084753058851e-05,3.473222386674024e-05,0.00034384444006718695,0.0003688327851705253,0.00019563060777727515,0.0017299909377470613,6.825720629421994e-05,0.00034215356572531164,1.3424193639366422e-05,0.0001316491689067334,0.0010130011942237616,8.963346772361547e-05,0.8394260406494141
2022-04-05,3:00:56 PM,1.0,COVID Match,2022-04-05-COVID-Match-E1-Non-Donors,fundraising,"MATCH: , we need pandemic protection for all",228531,227946,585.0,325.0,244,63086,145,31.0,33.0,9.0,510.0,Non Donors,2022-04-05-COVID,0.2760500763572557,0.0010676888474648,3.938196568518057e-05,2.231644722160232,4,0.0,0.0,match need pandemic protection,0.000379611476091668,0.00501663563773036,0.00019806242198683321,0.0012447282206267118,0.026035435497760773,9.976980072678998e-05,0.0005731328274123371,0.0023200877476483583,0.1183258444070816,0.00022861023899167776,0.0006833784864284098,0.0005479805986396968,3.865918915835209e-05,0.00037743186112493277,0.00010259832197334617,7.079084753058851e-05,3.473222386674024e-05,0.00034384444006718695,0.0003688327851705253,0.00019563060777727515,0.0017299909377470613,6.825720629421994e-05,0.00034215356572531164,1.3424193639366422e-05,0.0001316491689067334,0.0010130011942237616,8.963346772361547e-05,0.8394260406494141
2022-04-15,6:00:44 PM,2.0,COVID Match,2022-04-15-Midlevel-COVID-Match-E2-PNB,fundraising,: Don?t miss this exclusive match opportunity,329,328,1.0,1.0,1,111,0,0.0,0.0,0.0,0.0,PNB,2022-04-15-Midle,0.3373860182370821,0.0030395136778115,0.0,0.0,4,0.0,0.0,don?t miss exclusive match opportunity,0.0007071442087180912,0.00019985286053270102,0.00094215152785182,0.0016559024807065725,0.01033074501901865,0.03146900236606598,0.002463840413838625,0.2237820327281952,0.0027212705463171005,0.2372940480709076,0.007992555387318134,0.0002548664342612028,0.00015508725482504815,0.005915362853556871,0.0019293102668598294,0.0013205544091761112,0.0022319131530821323,0.006475603207945824,0.026957698166370392,0.0007191173499450088,0.0005307462415657938,8.218877155741211e-06,0.006335257086902857,0.0001687149633653462,0.006283571477979422,0.2639634609222412,0.007900374941527843,0.14929161965847015
2022-04-15,6:00:41 PM,2.0,COVID Match,2022-04-15-Midlevel-COVID-Match-E2-Partner,fundraising,: Don?t miss this exclusive match opportunity,16404,16366,38.0,93.0,68,6108,12,3.0,3.0,59.0,27600.0,Partners,2022-04-15-Midle,0.3723482077542063,0.0041453304072177,0.0035966837356742,1682.5164594001462,4,0.0,0.0,don?t miss exclusive match opportunity,0.0007071442087180912,0.00019985286053270102,0.00094215152785182,0.0016559024807065725,0.01033074501901865,0.03146900236606598,0.002463840413838625,0.2237820327281952,0.0027212705463171005,0.2372940480709076,0.007992555387318134,0.0002548664342612028,0.00015508725482504815,0.005915362853556871,0.0019293102668598294,0.0013205544091761112,0.0022319131530821323,0.006475603207945824,0.026957698166370392,0.0007191173499450088,0.0005307462415657938,8.218877155741211e-06,0.006335257086902857,0.0001687149633653462,0.006283571477979422,0.2639634609222412,0.007900374941527843,0.14929161965847015
2022-04-15,6:00:44 PM,2.0,COVID Match,2022-04-15-Midlevel-COVID-Match-E2-Moved-Majors,fundraising,: Don?t miss this exclusive match opportunity,1952,1948,4.0,25.0,17,783,0,0.0,0.0,18.0,74400.0,Other,2022-04-15-Midle,0.4011270491803279,0.0087090163934426,0.0092213114754098,38114.75409836066,4,0.0,0.0,don?t miss exclusive match opportunity,0.0007071442087180912,0.00019985286053270102,0.00094215152785182,0.0016559024807065725,0.01033074501901865,0.03146900236606598,0.002463840413838625,0.2237820327281952,0.0027212705463171005,0.2372940480709076,0.007992555387318134,0.0002548664342612028,0.00015508725482504815,0.005915362853556871,0.0019293102668598294,0.0013205544091761112,0.0022319131530821323,0.006475603207945824,0.026957698166370392,0.0007191173499450088,0.0005307462415657938,8.218877155741211e-06,0.006335257086902857,0.0001687149633653462,0.006283571477979422,0.2639634609222412,0.007900374941527843,0.14929161965847015
2022-03-29,6:00:55 PM,1.0,COVID Video,2022-03-29-COVID-Video-13-37-Month-Donors,engagement,[Watch] Two years of responding to COVID-19,131016,130808,208.0,223.0,178,50779,131,34.0,38.0,5.0,390.0,Lapsed Donors,2022-03-29-COVID,0.3875786163522012,0.0013586126885265,3.8163277767600906e-05,2.9767356658728708,3,0.0,0.0,watch year respond covid-19,0.0028959044720977545,0.0011666706996038556,2.6440966394147836e-05,8.34781676530838e-05,0.0009451723308302462,3.289275991846807e-05,5.1449471357045695e-05,5.4758591431891546e-05,5.443421105155721e-05,5.192261596675962e-05,7.817443838575855e-05,4.2989478970412165e-05,1.0112295058206655e-05,8.454591443296522e-05,1.2683321074291598e-05,8.279236499220133e-05,1.1353456102369819e-05,9.46326763369143e-05,2.5222228941856883e-05,5.21752508575446e-06,0.00013897161989007145,1.6916263120947406e-05,7.284047023858875e-05,7.282181741175009e-06,3.718497100635432e-05,3.9308240957325324e-05,2.4138775188475847e-05,0.9938524961471558
2022-03-29,6:00:42 PM,1.0,COVID Video,2022-03-29-COVID-Video-Partner,engagement,[Watch] Two years of responding to COVID-19,17403,17347,56.0,108.0,89,6474,10,4.0,4.0,7.0,3450.0,Partners,2022-03-29-COVID,0.3720048267540079,0.0051140607941159,0.0004022295006608,198.24168246853992,3,0.0,0.0,watch year respond covid-19,0.0028959044720977545,0.0011666706996038556,2.6440966394147836e-05,8.34781676530838e-05,0.0009451723308302462,3.289275991846807e-05,5.1449471357045695e-05,5.4758591431891546e-05,5.443421105155721e-05,5.192261596675962e-05,7.817443838575855e-05,4.2989478970412165e-05,1.0112295058206655e-05,8.454591443296522e-05,1.2683321074291598e-05,8.279236499220133e-05,1.1353456102369819e-05,9.46326763369143e-05,2.5222228941856883e-05,5.21752508575446e-06,0.00013897161989007145,1.6916263120947406e-05,7.284047023858875e-05,7.282181741175009e-06,3.718497100635432e-05,3.9308240957325324e-05,2.4138775188475847e-05,0.9938524961471558
2022-03-29,6:00:52 PM,1.0,COVID Video,2022-03-29-COVID-Video-0-12-Month-Donors,engagement,[Watch] Two years of responding to COVID-19,132543,132045,498.0,717.0,501,45903,220,73.0,73.0,18.0,1680.0,First Levels,2022-03-29-COVID,0.3463253434734388,0.0037799053891944,0.0001358049840429,12.67513184400534,3,0.0,0.0,watch year respond covid-19,0.0028959044720977545,0.0011666706996038556,2.6440966394147836e-05,8.34781676530838e-05,0.0009451723308302462,3.289275991846807e-05,5.1449471357045695e-05,5.4758591431891546e-05,5.443421105155721e-05,5.192261596675962e-05,7.817443838575855e-05,4.2989478970412165e-05,1.0112295058206655e-05,8.454591443296522e-05,1.2683321074291598e-05,8.279236499220133e-05,1.1353456102369819e-05,9.46326763369143e-05,2.5222228941856883e-05,5.21752508575446e-06,0.00013897161989007145,1.6916263120947406e-05,7.284047023858875e-05,7.282181741175009e-06,3.718497100635432e-05,3.9308240957325324e-05,2.4138775188475847e-05,0.9938524961471558
2022-03-29,6:00:40 PM,1.0,COVID Video,2022-03-29-COVID-Video-PNB,engagement,[Watch] Two years of responding to COVID-19,392,390,2.0,7.0,4,144,0,0.0,0.0,0.0,0.0,PNB,2022-03-29-COVID,0.3673469387755102,0.010204081632653,0.0,0.0,3,0.0,0.0,watch year respond covid-19,0.0028959044720977545,0.0011666706996038556,2.6440966394147836e-05,8.34781676530838e-05,0.0009451723308302462,3.289275991846807e-05,5.1449471357045695e-05,5.4758591431891546e-05,5.443421105155721e-05,5.192261596675962e-05,7.817443838575855e-05,4.2989478970412165e-05,1.0112295058206655e-05,8.454591443296522e-05,1.2683321074291598e-05,8.279236499220133e-05,1.1353456102369819e-05,9.46326763369143e-05,2.5222228941856883e-05,5.21752508575446e-06,0.00013897161989007145,1.6916263120947406e-05,7.284047023858875e-05,7.282181741175009e-06,3.718497100635432e-05,3.9308240957325324e-05,2.4138775188475847e-05,0.9938524961471558
2022-03-29,6:00:46 PM,1.0,COVID Video,2022-03-29-COVID-Video-Moved-Majors,engagement,[Watch] Two years of responding to COVID-19,2368,2361,7.0,25.0,17,901,1,1.0,1.0,0.0,0.0,Other,2022-03-29-COVID,0.3804898648648648,0.007179054054054,0.0,0.0,3,0.0,0.0,watch year respond covid-19,0.0028959044720977545,0.0011666706996038556,2.6440966394147836e-05,8.34781676530838e-05,0.0009451723308302462,3.289275991846807e-05,5.1449471357045695e-05,5.4758591431891546e-05,5.443421105155721e-05,5.192261596675962e-05,7.817443838575855e-05,4.2989478970412165e-05,1.0112295058206655e-05,8.454591443296522e-05,1.2683321074291598e-05,8.279236499220133e-05,1.1353456102369819e-05,9.46326763369143e-05,2.5222228941856883e-05,5.21752508575446e-06,0.00013897161989007145,1.6916263120947406e-05,7.284047023858875e-05,7.282181741175009e-06,3.718497100635432e-05,3.9308240957325324e-05,2.4138775188475847e-05,0.9938524961471558
2022-03-29,6:00:55 PM,1.0,COVID Video,2022-03-29-COVID-Video-Non-Donors,engagement,[Watch] Two years of responding to COVID-19,233361,232653,708.0,655.0,508,67637,282,56.0,56.0,1.0,50.0,Non Donors,2022-03-29-COVID,0.2898384905789742,0.0021768847408093,4.285206182695481e-06,0.214260309134774,3,0.0,0.0,watch year respond covid-19,0.0028959044720977545,0.0011666706996038556,2.6440966394147836e-05,8.34781676530838e-05,0.0009451723308302462,3.289275991846807e-05,5.1449471357045695e-05,5.4758591431891546e-05,5.443421105155721e-05,5.192261596675962e-05,7.817443838575855e-05,4.2989478970412165e-05,1.0112295058206655e-05,8.454591443296522e-05,1.2683321074291598e-05,8.279236499220133e-05,1.1353456102369819e-05,9.46326763369143e-05,2.5222228941856883e-05,5.21752508575446e-06,0.00013897161989007145,1.6916263120947406e-05,7.284047023858875e-05,7.282181741175009e-06,3.718497100635432e-05,3.9308240957325324e-05,2.4138775188475847e-05,0.9938524961471558
2022-03-29,6:00:52 PM,1.0,COVID Video,2022-03-29-COVID-Video-Field-Partners,engagement,[Watch] Two years of responding to COVID-19,68850,68713,137.0,409.0,334,27698,59,20.0,20.0,11.0,2100.0,Field Partners,2022-03-29-COVID,0.4022948438634713,0.0048511256354393,0.000159767610748,30.50108932461874,3,0.0,0.0,watch year respond covid-19,0.0028959044720977545,0.0011666706996038556,2.6440966394147836e-05,8.34781676530838e-05,0.0009451723308302462,3.289275991846807e-05,5.1449471357045695e-05,5.4758591431891546e-05,5.443421105155721e-05,5.192261596675962e-05,7.817443838575855e-05,4.2989478970412165e-05,1.0112295058206655e-05,8.454591443296522e-05,1.2683321074291598e-05,8.279236499220133e-05,1.1353456102369819e-05,9.46326763369143e-05,2.5222228941856883e-05,5.21752508575446e-06,0.00013897161989007145,1.6916263120947406e-05,7.284047023858875e-05,7.282181741175009e-06,3.718497100635432e-05,3.9308240957325324e-05,2.4138775188475847e-05,0.9938524961471558
